WKT,id,index
"POLYGON ((540055.537911133 188702.957925031,539913.44762784 188590.433288059,539948.542279483 188397.135626187,540125.728711881 188316.366959065,540267.816230734 188428.895115375,540232.720081649 188622.188419581,540055.537911133 188702.957925031))",66,89194e683c7ffff
"POLYGON ((532444.811727875 165186.711402267,532302.419638037 165073.735978131,532337.505515873 164880.03793355,532514.983913556 164799.320140028,532657.373248737 164912.29887969,532622.286682703 165105.992337507,532444.811727875 165186.711402267))",67,89194ac2283ffff
"POLYGON ((524126.126904747 165236.060381331,523983.556096821 165123.033383622,524018.610985006 164929.239327359,524196.238221087 164848.476393871,524338.806606228 164961.507539972,524303.750200474 165155.297527847,524126.126904747 165236.060381331))",68,89194ad8933ffff
"POLYGON ((533336.523915322 182718.473149117,533194.26271405 182605.8040589,533229.343593526 182412.355478705,533406.686950354 182331.579496123,533548.945272539 182444.250965808,533513.863123414 182637.696441297,533336.523915322 182718.473149117))",69,89194ad346bffff
"POLYGON ((547363.48143621 169941.99511992,547221.434600997 169829.196445519,547256.570153665 169635.724329939,547433.754997351 169555.056760173,547575.800149365 169667.86043804,547540.663272986 169861.328192183,547363.48143621 169941.99511992))",70,89194e6dbabffff
"POLYGON ((534609.146579811 180186.618817282,534466.896410167 180073.917180441,534501.984372013 179880.447632488,534679.323806654 179799.683562768,534821.571148916 179912.388554386,534786.481883922 180105.854261064,534609.146579811 180186.618817282))",71,89194ad31c3ffff
"POLYGON ((508490.288074617 184973.278579243,508347.502588452 184860.491948243,508382.487090405 184666.797971242,508560.260295983 184585.895034861,508703.040703515 184698.684610485,508668.05492727 184892.374566667,508490.288074617 184973.278579243))",72,89195dac30bffff
"POLYGON ((515413.317493114 179156.213460072,515270.64824886 179043.373488003,515305.66418063 178849.678282898,515483.350779101 178768.827113495,515626.017219526 178881.670509767,515590.99986532 179075.361651352,515413.317493114 179156.213460072))",73,89194adb20fffff
"POLYGON ((554945.641701591 194311.284460668,554803.921516394 194198.964057234,554839.08762642 194005.925129924,555015.972284548 193925.208921063,555157.686613455 194037.530960917,555122.519108225 194230.565785051,554945.641701591 194311.284460668))",74,89194e606c7ffff
"POLYGON ((524896.96435464 174485.232486854,524754.46844924 174372.374138814,524789.520273703 174178.7200821,524967.069408782 174097.928440982,525109.562041305 174210.79009471,525074.509093907 174404.440146773,524896.96435464 174485.232486854))",75,89194adae8fffff
"POLYGON ((549612.727518791 179914.677963644,549470.797132201 179802.072391917,549505.945319625 179608.766055017,549683.026220575 179528.070857994,549824.954097554 179640.68030109,549789.80358327 179833.981069941,549612.727518791 179914.677963644))",76,89194e6c6d3ffff
"POLYGON ((522270.983820741 189889.116731601,522128.526180949 189776.510061702,522163.55159242 189583.033779767,522341.037122675 189502.168731774,522483.491942262 189614.781782639,522448.465063054 189808.253210109,522270.983820741 189889.116731601))",77,89195da55afffff
"POLYGON ((519116.622141892 167691.629915891,518973.957351524 167578.614711152,519008.989125258 167384.804047458,519186.68776718 167304.012308434,519329.349945044 167417.030820762,519294.316093499 167610.837764613,519116.622141892 167691.629915891))",78,89194ad8a43ffff
"POLYGON ((505482.113732228 179940.225355247,505339.237930001 179827.331894044,505374.217689579 179633.532724175,505552.074221562 179552.63101529,505694.947083805 179665.527885727,505659.966354049 179859.323055941,505482.113732228 179940.225355247))",79,89195dadb33ffff
"POLYGON ((538452.005985008 185000.589361489,538309.863866171 184887.997507981,538344.960327967 184694.636158969,538522.199937036 184613.870389515,538664.339149749 184726.465568831,538629.241659512 184919.823191916,538452.005985008 185000.589361489))",80,89194e699d3ffff
"POLYGON ((532603.915030339 188552.562076926,532461.666922016 188439.989405455,532496.735614324 188246.611336256,532674.053570939 188165.809949758,532816.298717504 188278.386149903,532781.228960249 188471.760096529,532603.915030339 188552.562076926))",81,89195da6c37ffff
"POLYGON ((545143.945020439 178581.677188801,545001.910974727 178469.015975599,545037.038810596 178275.640555532,545214.201988046 178194.930308115,545356.233210174 178307.59490614,545321.104078441 178500.966366873,545143.945020439 178581.677188801))",82,89194e6d01bffff
"POLYGON ((534394.817681259 179574.265491065,534252.558892328 179461.552050034,534287.646508123 179268.071998655,534464.994214779 179187.309687503,534607.250175712 179300.026618544,534572.161258003 179493.502370845,534394.817681259 179574.265491065))",83,89194ad3157ffff
"POLYGON ((556847.45699794 186538.872697229,556705.721898128 186426.426544548,556740.885122502 186233.293899492,556917.784817354 186152.611372426,557059.517124688 186265.060919386,557024.352529656 186458.189599243,556847.45699794 186538.872697229))",84,89194e60a9bffff
"POLYGON ((530069.410278259 198042.822292976,529927.170189808 197930.400728645,529962.219848385 197737.127050992,530139.510894476 197656.278486943,530281.74796058 197768.703422247,530246.697147531 197961.973482964,530069.410278259 198042.822292976))",85,89195db4acfffff
"POLYGON ((526501.450605847 176420.146958064,526358.999546599 176307.329405474,526394.053736487 176113.717255764,526571.560052316 176032.926553584,526714.008209605 176145.74747422,526678.952953026 176339.35572911,526501.450605847 176420.146958064))",86,89194ad124fffff
"POLYGON ((537250.64286859 170107.013865178,537108.382889225 169994.157784515,537143.484999103 169800.579370089,537320.848589964 169719.861108432,537463.105801035 169832.720598343,537428.002189552 170026.294940771,537250.64286859 170107.013865178))",87,89194ad08cbffff
"POLYGON ((534938.132058281 184650.506411151,534795.912313573 184537.883376486,534830.991499391 184344.47916532,535008.292710621 184263.701465859,535150.507629548 184376.329365653,535115.427566777 184569.729126065,534938.132058281 184650.506411151))",88,89194e69a2bffff
"POLYGON ((509744.216380734 176222.855880473,509601.404933416 176109.925310767,509636.39658443 175916.126171632,509814.201330467 175835.260857404,509957.010035073 175948.194615065,509922.016736344 176141.990499104,509744.216380734 176222.855880473))",89,89195d36563ffff
"POLYGON ((527566.425495369 175935.416254251,527423.994103097 175822.596834423,527459.052633699 175628.990220144,527636.543569994 175548.20662695,527778.971968905 175661.029159858,527743.912324663 175854.631950339,527566.425495369 175935.416254251))",90,89194ad123bffff
"POLYGON ((529832.51966695 187686.374369127,529690.2084256 187573.772298769,529725.268070437 187380.350757677,529902.639822831 187299.535240905,530044.948106285 187412.140711044,530009.88759524 187605.558298302,529832.51966695 187686.374369127))",91,89195da6a97ffff
"POLYGON ((555367.60457526 191994.680039805,555225.874682568 191882.320193161,555261.029127851 191689.246931405,555437.913819051 191608.537135516,555579.640609587 191720.900278586,555544.485811061 191913.969921264,555367.60457526 191994.680039805))",92,89194e6004bffff
"POLYGON ((547058.866387738 178773.344963413,546916.874950091 178660.699488547,546952.010137345 178467.348020224,547129.137985188 178386.645909694,547271.126575984 178499.294742017,547235.990159589 178692.642317307,547058.866387738 178773.344963413))",93,89194e6d557ffff
