INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
283641593,03/12/2024,20:35:00,BROOKLYN,OUTSIDE,79,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,25-44,M,BLACK HISPANIC,995918,190890,40.69062,-73.957925,POINT (-73.957925 40.69062)
292945972,09/07/2024,19:38:00,MANHATTAN,INSIDE,28,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,BLACK,45-64,M,BLACK,1000301,233204,40.806752,-73.942017,POINT (-73.942017 40.806752)
285137847,04/10/2024,15:01:00,MANHATTAN,OUTSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK HISPANIC,18-24,F,BLACK,1003280,229886,40.797639,-73.931269,POINT (-73.931269 40.797639)
282788118,02/25/2024,18:45:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1029833,253251,40.861674,-73.835205,POINT (-73.835205 40.861674)
289549275,07/04/2024,1:30:00,QUEENS,OUTSIDE,110,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1024509,216204,40.760016,-73.854675,POINT (-73.854675 40.760016)
290733180,07/27/2024,2:35:00,BRONX,OUTSIDE,48,0,STREET,(null),N,25-44,M,BLACK,18-24,F,BLACK,1012600,249741,40.852113,-73.897521,POINT (-73.897521 40.852113)
286397104,05/04/2024,1:25:00,QUEENS,OUTSIDE,102,0,COMMERCIAL,BAR/NIGHT CLUB,N,18-24,M,BLACK,25-44,M,BLACK,1029424,191245,40.691487,-73.837101,POINT (-73.837101 40.691487)
293719752,09/22/2024,6:15:00,QUEENS,OUTSIDE,113,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1048949,187897,40.682176,-73.766728,POINT (-73.766728 40.682176)
288607689,06/15/2024,16:30:00,BRONX,OUTSIDE,43,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1016981,242160,40.831288,-73.881724,POINT (-73.881724 40.831288)
292840490,09/05/2024,8:55:00,BRONX,OUTSIDE,42,0,STREET,(null),N,25-44,M,BLACK,45-64,F,BLACK,1015357,242536,40.832327,-73.887588,POINT (-73.887588 40.832327)
